Company,Predicted SDG Component,Percentage Prediction,Keywords
Brigade Enterprises Limited,GOAL 12: Responsible Consumption and Production,30.0%,
Oberoi Realty,GOAL 8: Decent Work and Economic Growth,46.6%,"employment, enterprise"
Mahindra Lifespace Developers Ltd,GOAL 12: Responsible Consumption and Production,98.1%,
Valor Estate Ltd,GOAL 8: Decent Work and Economic Growth,70.8%,enterprise
GRIL,GOAL 8: Decent Work and Economic Growth,84.6%,"workforce, employment, wages, innovation, enterprise"
Godrej Properties Limited,GOAL 12: Responsible Consumption and Production,97.5%,
Puravankara Ltd,GOAL 12: Responsible Consumption and Production,95.3%,sustainable
Ganesh Housing Corporation Ltd,GOAL 12: Responsible Consumption and Production,85.1%,
Anant Raj Ltd,GOAL 12: Responsible Consumption and Production,83.4%,
DLF Limited,GOAL 12: Responsible Consumption and Production,48.0%,"sustainable, recycling"
The phoenix Mills Limited,GOAL 12: Responsible Consumption and Production,79.2%,
